Org,Repo,Date,Views count,Views unique
usdot-fhwa-OPS,V2X-Hub,2024-11-17,2,2
usdot-fhwa-OPS,V2X-Hub,2024-11-18,89,17
usdot-fhwa-OPS,V2X-Hub,2024-11-19,81,16
usdot-fhwa-OPS,V2X-Hub-UI,2024-11-19,3,1
usdot-fhwa-OPS,ngx-traffic-cdk,2024-11-19,3,1
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2024-11-19,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2024-11-20,7,1
usdot-fhwa-OPS,V2X-Hub,2024-11-20,167,10
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2024-11-21,3,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2024-11-21,1,1
usdot-fhwa-OPS,V2X-Hub,2024-11-21,20,13
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2024-11-22,3,2
usdot-fhwa-OPS,V2X-Hub,2024-11-22,46,11
usdot-fhwa-OPS,V2X-Hub,2024-11-23,38,5
usdot-fhwa-OPS,V2X-Hub,2024-11-24,27,6
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2024-11-25,1,1
usdot-fhwa-OPS,V2X-Hub,2024-11-25,87,11
usdot-fhwa-OPS,V2X-Hub,2024-11-26,240,11
usdot-fhwa-OPS,V2X-Hub,2024-11-27,53,6
usdot-fhwa-OPS,V2X-Hub-UI,2024-11-27,2,1
usdot-fhwa-OPS,V2X-Hub,2024-11-28,12,3
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2024-11-29,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2024-11-29,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2024-11-29,1,1
usdot-fhwa-OPS,V2X-Hub,2024-11-29,43,4
usdot-fhwa-OPS,V2X-Hub,2024-11-30,34,7
