Start date,End date,Org,Repo,Referrer,Count,Unique
2025-03-17,2025-03-31,usdot-fhwa-stol,actions,github.com,8,1
2025-03-17,2025-03-31,usdot-fhwa-stol,ads-road-feature-readiness,statics.gov.teams.microsoft.us,41,1
2025-03-17,2025-03-31,usdot-fhwa-stol,ads-road-feature-readiness,github.com,10,1
2025-03-17,2025-03-31,usdot-fhwa-stol,asn1-specification-splitter,github.com,51,4
2025-03-17,2025-03-31,usdot-fhwa-stol,asn1-specification-splitter,statics.gov.teams.microsoft.us,6,2
2025-03-17,2025-03-31,usdot-fhwa-stol,autoware.auto,github.com,11,1
2025-03-17,2025-03-31,usdot-fhwa-stol,autoware.auto,Google,2,2
2025-03-17,2025-03-31,usdot-fhwa-stol,c2c-mvt,github.com,1,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carla-sensor-lib,github.com,9,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carla-sensor-lib,Google,1,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carla-sensor-lib,its.dot.gov,1,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-1-tenth,Google,1,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-analytics-fotda,github.com,9,3
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-analytics-fotda,usdot-carma.atlassian.net,7,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-analytics-fotda,Google,4,2
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-analytics-fotda,excel.gov.online.office365.us,3,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-analytics-fotda,statics.gov.teams.microsoft.us,1,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-base,github.com,51,2
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-base,Google,7,2
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-base,community.sonarsource.com,1,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-carla-integration,Google,33,3
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-carla-integration,github.com,27,4
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-cloud,github.com,9,2
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-cloud,usdot-fhwa-stol.github.io,2,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-cloud,statics.gov.teams.microsoft.us,1,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-config,github.com,39,6
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-config,Google,21,4
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-config,statics.gov.teams.microsoft.us,1,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-delphi-esr-driver,Google,13,3
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-delphi-srr2-driver,Bing,7,2
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,github.com,12,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-lightbar-driver,github.com,20,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-messenger,github.com,19,3
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-messenger,Bing,1,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-msgs,github.com,53,2
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-msgs,Google,5,2
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-msgs,cn.bing.com,1,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,github.com,26,1
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,Google,6,2
2025-03-17,2025-03-31,usdot-fhwa-stol,carma-ns3-adapter,github.com,7,1
