Start date,End date,Org,Repo,Referrer,Count,Unique
2024-11-16,2024-11-30,usdot-fhwa-OPS,ITS-Secure-Prototype-App,github.com,7,2
2024-11-16,2024-11-30,usdot-fhwa-OPS,ITS-Secure-Prototype-App,yandex.ru,1,1
2024-11-16,2024-11-30,usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,github.com,8,2
2024-11-16,2024-11-30,usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,yandex.ru,1,1
2024-11-16,2024-11-30,usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,yandex.ru,1,1
2024-11-16,2024-11-30,usdot-fhwa-OPS,ngx-traffic-cdk,its.dot.gov,1,1
2024-11-16,2024-11-30,usdot-fhwa-OPS,V2X-Hub,onenote.officeapps.live.com,156,1
2024-11-16,2024-11-30,usdot-fhwa-OPS,V2X-Hub,Google,150,21
2024-11-16,2024-11-30,usdot-fhwa-OPS,V2X-Hub,chatgpt.com,56,8
2024-11-16,2024-11-30,usdot-fhwa-OPS,V2X-Hub,github.com,54,11
2024-11-16,2024-11-30,usdot-fhwa-OPS,V2X-Hub,Bing,47,5
2024-11-16,2024-11-30,usdot-fhwa-OPS,V2X-Hub,its.dot.gov,21,3
2024-11-16,2024-11-30,usdot-fhwa-OPS,V2X-Hub,DuckDuckGo,8,1
2024-11-16,2024-11-30,usdot-fhwa-OPS,V2X-Hub,statics.gov.teams.microsoft.us,3,2
2024-11-16,2024-11-30,usdot-fhwa-OPS,V2X-Hub,geekdaxue.co,3,1
2024-11-16,2024-11-30,usdot-fhwa-OPS,V2X-Hub,excel.gov.online.office365.us,3,1
2024-11-16,2024-11-30,usdot-fhwa-OPS,V2X-Hub-UI,its.dot.gov,1,1
2024-11-16,2024-11-30,usdot-fhwa-OPS,v2xhub-angular-ui-prototype,github.com,1,1
