Org,Repo,Date,Views count,Views unique
usdot-fhwa-OPS,V2X-Hub,2025-03-01,16,5
usdot-fhwa-OPS,V2X-Hub,2025-03-02,11,8
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-03-03,6,1
usdot-fhwa-OPS,V2X-Hub,2025-03-03,131,21
usdot-fhwa-OPS,ngx-traffic-cdk,2025-03-03,1,1
usdot-fhwa-OPS,pcis-poc,2025-03-03,11,4
usdot-fhwa-OPS,V2X-Hub,2025-03-04,101,27
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-03-05,9,1
usdot-fhwa-OPS,V2X-Hub,2025-03-05,95,16
usdot-fhwa-OPS,pcis-poc,2025-03-05,13,2
usdot-fhwa-OPS,v2x-hub-ui,2025-03-05,4,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-03-06,9,1
usdot-fhwa-OPS,V2X-Hub,2025-03-06,159,26
usdot-fhwa-OPS,pcis-poc,2025-03-06,139,2
usdot-fhwa-OPS,V2X-Hub,2025-03-07,180,23
usdot-fhwa-OPS,pcis-poc,2025-03-07,35,2
usdot-fhwa-OPS,V2X-Hub,2025-03-08,19,7
usdot-fhwa-OPS,V2X-Hub,2025-03-09,20,5
usdot-fhwa-OPS,pcis-poc,2025-03-09,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-03-10,1,1
usdot-fhwa-OPS,V2X-Hub,2025-03-10,77,10
usdot-fhwa-OPS,pcis-poc,2025-03-10,29,4
usdot-fhwa-OPS,V2X-Hub,2025-03-11,84,19
usdot-fhwa-OPS,pcis-poc,2025-03-11,23,3
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-03-12,2,1
usdot-fhwa-OPS,V2X-Hub,2025-03-12,106,21
usdot-fhwa-OPS,pcis-poc,2025-03-12,22,3
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-03-12,3,1
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-03-13,2,2
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-03-13,2,2
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-03-13,2,2
usdot-fhwa-OPS,V2X-Hub,2025-03-13,69,14
usdot-fhwa-OPS,pcis-poc,2025-03-13,20,5
usdot-fhwa-OPS,V2X-Hub,2025-03-14,26,10
usdot-fhwa-OPS,pcis-poc,2025-03-14,57,3
