Start date,End date,Org,Repo,Referrer,Count,Unique
2024-12-31,2025-01-14,usdot-jpo-ode,asn1_codec,github.com,42,6
2024-12-31,2025-01-14,usdot-jpo-ode,asn1_codec,Google,1,1
2024-12-31,2025-01-14,usdot-jpo-ode,asn1_codec,excel.gov.online.office365.us,1,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-conflictmonitor,github.com,88,7
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-conflictmonitor,DuckDuckGo,45,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-conflictvisualizer,github.com,51,6
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-conflictvisualizer,DuckDuckGo,4,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-cvdp,github.com,33,3
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-cvdp,Google,1,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-cvmanager,github.com,22,6
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-cvmanager,Google,2,2
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-cvmanager,ea.onramp.dot.ca.gov,1,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-cvmanager,statics.gov.teams.microsoft.us,1,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-deposit,github.com,1,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-geojsonconverter,github.com,88,7
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-geojsonconverter,excel.gov.online.office365.us,2,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-ode,github.com,58,10
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-ode,Google,33,12
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-ode,DuckDuckGo,19,3
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-ode,excel.gov.online.office365.us,6,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-ode,statics.gov.teams.microsoft.us,5,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-ode,data.transportationops.org,4,2
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-ode,statics.teams.cdn.office.net,1,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-s3-deposit,github.com,38,3
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-s3-deposit,excel.gov.online.office365.us,1,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-sdw-depositor,github.com,28,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-sdw-depositor,excel.gov.online.office365.us,2,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-security,Google,5,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-security-svcs,github.com,15,5
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-security-svcs,Google,1,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-tim-builder,github.com,14,2
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-utils,github.com,48,9
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-utils,statics.gov.teams.microsoft.us,4,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-utils,DuckDuckGo,2,1
2024-12-31,2025-01-14,usdot-jpo-ode,jpo-utils,com.google.android.gm,1,1
2024-12-31,2025-01-14,usdot-jpo-ode,ode-output-validator-library,github.com,27,2
2024-12-31,2025-01-14,usdot-jpo-ode,scms-asn1,Google,3,3
2024-12-31,2025-01-14,usdot-jpo-ode,TDx,Google,16,8
2024-12-31,2025-01-14,usdot-jpo-ode,TDx,github.com,4,2
2024-12-31,2025-01-14,usdot-jpo-ode,TDx,search.brave.com,1,1
2024-12-31,2025-01-14,usdot-jpo-ode,wzdx,transportation.gov,51,22
2024-12-31,2025-01-14,usdot-jpo-ode,wzdx,Google,21,12
2024-12-31,2025-01-14,usdot-jpo-ode,wzdx,datahub.transportation.gov,12,5
2024-12-31,2025-01-14,usdot-jpo-ode,wzdx,its.dot.gov,11,3
2024-12-31,2025-01-14,usdot-jpo-ode,wzdx,gbc-excel.officeapps.live.com,11,1
2024-12-31,2025-01-14,usdot-jpo-ode,wzdx,fhwa.dot.gov,10,5
2024-12-31,2025-01-14,usdot-jpo-ode,wzdx,Bing,10,2
2024-12-31,2025-01-14,usdot-jpo-ode,wzdx,ver-mac.com,4,2
2024-12-31,2025-01-14,usdot-jpo-ode,wzdx,github.com,3,3
2024-12-31,2025-01-14,usdot-jpo-ode,wzdx,az511.gov,2,2
