Org,Repo,Date,Clones count,Clones unique
usdot-jpo-ode,asn1_codec,2025-03-18,3,2
usdot-jpo-ode,jpo-asn-pojos,2025-03-18,1,1
usdot-jpo-ode,jpo-conflictmonitor,2025-03-18,4,1
usdot-jpo-ode,jpo-conflictvisualizer,2025-03-18,2,1
usdot-jpo-ode,jpo-deduplicator,2025-03-18,1,1
usdot-jpo-ode,jpo-deposit,2025-03-18,1,1
usdot-jpo-ode,jpo-utils,2025-03-18,5,2
usdot-jpo-ode,TDx,2025-03-19,1,1
usdot-jpo-ode,asn1_codec,2025-03-19,14,7
usdot-jpo-ode,jpo-conflictvisualizer,2025-03-19,1,1
usdot-jpo-ode,jpo-cvdp,2025-03-19,9,2
usdot-jpo-ode,jpo-ode,2025-03-19,1,1
usdot-jpo-ode,jpo-s3-deposit,2025-03-19,1,1
usdot-jpo-ode,jpo-sdw-depositor,2025-03-19,9,2
usdot-jpo-ode,jpo-security-svcs,2025-03-19,9,2
usdot-jpo-ode,jpo-utils,2025-03-19,9,2
usdot-jpo-ode,ode-output-validator-library,2025-03-19,9,2
usdot-jpo-ode,scms-asn1,2025-03-19,2,2
usdot-jpo-ode,wzdc-tool,2025-03-19,1,1
usdot-jpo-ode,TDx,2025-03-20,1,1
usdot-jpo-ode,asn1_codec,2025-03-20,14,1
usdot-jpo-ode,jpo-conflictmonitor,2025-03-20,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2025-03-20,1,1
usdot-jpo-ode,jpo-cvdp,2025-03-20,15,2
usdot-jpo-ode,jpo-cvmanager,2025-03-20,1,1
usdot-jpo-ode,jpo-deduplicator,2025-03-20,1,1
usdot-jpo-ode,jpo-geojsonconverter,2025-03-20,1,1
usdot-jpo-ode,jpo-ode,2025-03-20,1,1
usdot-jpo-ode,jpo-s3-deposit,2025-03-20,1,1
usdot-jpo-ode,jpo-sdw-depositor,2025-03-20,14,1
usdot-jpo-ode,jpo-security-svcs,2025-03-20,14,1
usdot-jpo-ode,jpo-tim-builder,2025-03-20,1,1
usdot-jpo-ode,jpo-utils,2025-03-20,15,2
usdot-jpo-ode,ode-output-validator-library,2025-03-20,15,2
usdot-jpo-ode,scms-asn1,2025-03-20,1,1
