Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-stol,.github,2025-02-15,1,1
usdot-fhwa-stol,CARMAConcept,2025-02-15,1,1
usdot-fhwa-stol,Stol-scratchpad,2025-02-15,3,2
usdot-fhwa-stol,To-21-426-modeling-HV-interactions-with-inconspicuous-ACC-equipped-vehicles,2025-02-15,4,4
usdot-fhwa-stol,To-21-426-multivariate-piecewise-linear-ACC-car-following-model,2025-02-15,4,4
usdot-fhwa-stol,WxDE,2025-02-15,1,1
usdot-fhwa-stol,actions,2025-02-15,3,3
usdot-fhwa-stol,ads-traffic-regs,2025-02-15,1,1
usdot-fhwa-stol,autoware.auto,2025-02-15,2,2
usdot-fhwa-stol,c1t-tools,2025-02-15,1,1
usdot-fhwa-stol,c1t_razor_imu_m0_driver,2025-02-15,1,1
usdot-fhwa-stol,c1t_rplidar_driver,2025-02-15,1,1
usdot-fhwa-stol,c1t_vesc_driver,2025-02-15,1,1
usdot-fhwa-stol,c1t_zed_driver,2025-02-15,1,1
usdot-fhwa-stol,carla-sensor-lib,2025-02-15,2,2
usdot-fhwa-stol,carma-1-tenth,2025-02-15,1,1
usdot-fhwa-stol,carma-analytics-fotda,2025-02-15,2,2
usdot-fhwa-stol,carma-base,2025-02-15,2,2
usdot-fhwa-stol,carma-builds,2025-02-15,2,2
usdot-fhwa-stol,carma-cadillac-srx-2013-controller-driver,2025-02-15,1,1
usdot-fhwa-stol,carma-carla-integration,2025-02-15,3,3
usdot-fhwa-stol,carma-cloud,2025-02-15,2,2
usdot-fhwa-stol,carma-config,2025-02-15,20,5
usdot-fhwa-stol,carma-delphi-esr-driver,2025-02-15,2,2
usdot-fhwa-stol,carma-delphi-srr2-driver,2025-02-15,2,2
usdot-fhwa-stol,carma-developer-tools,2025-02-15,1,1
usdot-fhwa-stol,carma-freightliner-2012-controller-driver,2025-02-15,1,1
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2025-02-15,2,2
usdot-fhwa-stol,carma-geodetic-lib,2025-02-15,1,1
usdot-fhwa-stol,carma-lightbar-driver,2025-02-15,2,2
usdot-fhwa-stol,carma-messenger,2025-02-15,4,3
usdot-fhwa-stol,carma-messenger-bridge,2025-02-15,2,2
usdot-fhwa-stol,carma-mobileye-driver,2025-02-15,1,1
usdot-fhwa-stol,carma-msgs,2025-02-15,4,4
usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,2025-02-15,2,2
usdot-fhwa-stol,carma-ns3-adapter,2025-02-15,2,2
usdot-fhwa-stol,carma-platform,2025-02-15,6,6
usdot-fhwa-stol,carma-rtk,2025-02-15,1,1
usdot-fhwa-stol,carma-slamtec-lidar-driver,2025-02-15,1,1
usdot-fhwa-stol,carma-ssc-interface-wrapper,2025-02-15,2,2
usdot-fhwa-stol,carma-streets,2025-02-15,1,1
usdot-fhwa-stol,carma-time-lib,2025-02-15,2,2
usdot-fhwa-stol,carma-torc-pinpoint-driver,2025-02-15,2,2
usdot-fhwa-stol,carma-torc-xgv-controller-driver,2025-02-15,1,1
usdot-fhwa-stol,carma-utils,2025-02-15,4,4
usdot-fhwa-stol,carma-validation,2025-02-15,2,2
usdot-fhwa-stol,carma-vehicle-model-framework,2025-02-15,2,2
usdot-fhwa-stol,carma-velodyne-lidar-driver,2025-02-15,2,2
usdot-fhwa-stol,carma-web-ui,2025-02-15,2,2
usdot-fhwa-stol,cav-education,2025-02-15,1,1
usdot-fhwa-stol,cavams,2025-02-15,2,2
usdot-fhwa-stol,cave-lite,2025-02-15,1,1
usdot-fhwa-stol,cda-telematics,2025-02-15,2,2
usdot-fhwa-stol,cda1tenth-bringup,2025-02-15,2,2
usdot-fhwa-stol,cdasim,2025-02-15,8,7
usdot-fhwa-stol,connectedvcs-tools,2025-02-15,2,2
usdot-fhwa-stol,devops,2025-02-15,3,3
usdot-fhwa-stol,documentation,2025-02-15,1,1
