Org,Repo,Date,Views count,Views unique
usdot-fhwa-OPS,V2X-Hub,2025-01-01,5,5
usdot-fhwa-OPS,V2X-Hub,2025-01-02,40,13
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-01-03,3,1
usdot-fhwa-OPS,V2X-Hub,2025-01-03,40,11
usdot-fhwa-OPS,V2X-Hub,2025-01-04,2,2
usdot-fhwa-OPS,V2X-Hub,2025-01-05,22,10
usdot-fhwa-OPS,V2X-Hub,2025-01-06,45,15
usdot-fhwa-OPS,pcis-poc,2025-01-06,5,2
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-01-07,2,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-01-07,7,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-01-07,1,1
usdot-fhwa-OPS,V2X-Hub,2025-01-07,88,12
usdot-fhwa-OPS,pcis-poc,2025-01-07,20,1
usdot-fhwa-OPS,V2X-Hub,2025-01-08,50,13
usdot-fhwa-OPS,pcis-poc,2025-01-08,3,2
usdot-fhwa-OPS,V2X-Hub,2025-01-09,69,16
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-01-10,11,5
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-01-10,3,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-01-10,1,1
usdot-fhwa-OPS,V2X-Hub,2025-01-10,72,15
usdot-fhwa-OPS,V2X-Hub-UI,2025-01-10,3,1
usdot-fhwa-OPS,V2X-Hub,2025-01-11,1,1
usdot-fhwa-OPS,V2X-Hub,2025-01-12,9,3
usdot-fhwa-OPS,V2X-Hub,2025-01-13,19,9
usdot-fhwa-OPS,V2X-Hub-UI,2025-01-13,8,2
usdot-fhwa-OPS,ngx-traffic-cdk,2025-01-13,3,2
usdot-fhwa-OPS,pcis-poc,2025-01-13,18,2
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-01-13,2,1
usdot-fhwa-OPS,V2X-Hub,2025-01-14,24,11
usdot-fhwa-OPS,ngx-traffic-cdk,2025-01-14,69,3
usdot-fhwa-OPS,pcis-poc,2025-01-14,32,3
usdot-fhwa-OPS,V2X-Hub,2025-01-15,1,1
usdot-fhwa-OPS,pcis-poc,2025-01-15,2,1
