Start date,End date,Org,Repo,Referrer,Count,Unique
2024-11-30,2024-12-14,usdot-fhwa-OPS,ITS-Secure-Prototype-App,github.com,36,2
2024-11-30,2024-12-14,usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,github.com,1,1
2024-11-30,2024-12-14,usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,github.com,9,3
2024-11-30,2024-12-14,usdot-fhwa-OPS,pcis-poc,github.com,73,4
2024-11-30,2024-12-14,usdot-fhwa-OPS,pcis-poc,statics.gov.teams.microsoft.us,4,1
2024-11-30,2024-12-14,usdot-fhwa-OPS,V2X-Hub,github.com,198,13
2024-11-30,2024-12-14,usdot-fhwa-OPS,V2X-Hub,Google,80,29
2024-11-30,2024-12-14,usdot-fhwa-OPS,V2X-Hub,Bing,52,9
2024-11-30,2024-12-14,usdot-fhwa-OPS,V2X-Hub,statics.gov.teams.microsoft.us,19,5
2024-11-30,2024-12-14,usdot-fhwa-OPS,V2X-Hub,usdot-carma.atlassian.net,8,1
2024-11-30,2024-12-14,usdot-fhwa-OPS,V2X-Hub,DuckDuckGo,1,1
2024-11-30,2024-12-14,usdot-fhwa-OPS,V2X-Hub,its.dot.gov,1,1
2024-11-30,2024-12-14,usdot-fhwa-OPS,V2X-Hub,search.brave.com,1,1
2024-11-30,2024-12-14,usdot-fhwa-OPS,V2X-Hub-UI,github.com,6,2
2024-11-30,2024-12-14,usdot-fhwa-OPS,v2xhub-angular-ui-prototype,github.com,1,1
