Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
jpo-ode,79,27,41,110,55,55,2,2,100%,2,100%,2%,95,448,349,93,0,7,45,17,28,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
jpo-cvdp,15,14,10,3,1,2,1,1,100%,1,100%,50%,939,40,29,11,0,12,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-s3-deposit,4,10,4,10,9,1,2,2,100%,2,100%,25%,287,56,41,15,0,29,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-security,4,10,3,1,0,1,1,1,100%,1,100%,N/A,N/A,10,8,2,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usdot-jpo-ode.github.io,2,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asn1_codec,14,13,18,9,4,5,2,1,50%,0,0%,0%,74,51,49,2,0,10,14,10,4,1,0,1,0,0,1,0,1,0,0,1,2,0,2,0
jpo-tim-builder,4,10,4,2,0,2,1,1,100%,1,100%,0%,0,1,0,1,0,26,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-security-svcs,3,10,2,3,1,2,0,0,N/A,0,N/A,0%,31,32,23,9,0,11,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-ode-scms-asn,0,7,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scms-asn1,4,7,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wzdx,92,52,60,140,92,48,11,11,100%,11,100%,7%,234,181,160,21,0,48,44,11,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jpo-record-parser,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-sdw-depositor,3,7,5,3,2,1,0,0,N/A,0,N/A,0%,452,43,23,20,0,25,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ode-output-validator-library,2,9,7,4,1,3,3,3,100%,3,100%,0%,1353,40,36,4,0,1,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wzdc-tool,1,7,0,1,1,0,0,0,N/A,0,N/A,0%,0,0,0,0,0,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDx,4,15,1,9,9,0,9,8,89%,9,100%,N/A,N/A,7,7,0,0,113,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-geojsonconverter,3,8,6,3,3,0,1,1,100%,1,100%,50%,5,75,63,12,2,14,10,8,2,0,0,0,0,0,3,3,0,0,1,0,2,2,0,0
jpo-conflictmonitor,0,9,4,1,1,0,0,0,N/A,0,N/A,0%,19,122,120,2,0,4,7,6,1,0,0,0,0,0,8,8,0,0,8,0,3,3,0,0
jpo-conflictvisualizer,0,9,4,1,1,0,1,0,0%,0,0%,N/A,N/A,122,120,2,3,2,9,7,2,1,1,0,0,0,6,6,0,0,6,1,2,2,0,0
jpo-cvmanager,2,8,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,33,28,5,0,6,7,4,3,0,0,0,0,0,2,1,1,0,0,2,2,1,1,0
jpo-cvportal,0,7,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-utils,1,8,3,1,1,0,1,1,100%,0,0%,N/A,N/A,13,13,0,1,2,5,5,0,0,0,0,0,0,2,2,0,0,2,0,1,1,0,0
TOTAL,237,259,178,301,181,120,35,32,91%,31,89%,6%,180,1279,1074,199,7,14,98,34,71,2,1,1,0,0,23,21,2,0,18,5,6,5,3,0
