Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-stol,.github,2025-01-01,1,1
usdot-fhwa-stol,carma-cloud,2025-01-01,1,1
usdot-fhwa-stol,carma-platform,2025-01-01,1,1
usdot-fhwa-stol,carma-utils,2025-01-01,1,1
usdot-fhwa-stol,carma-vehicle-model-framework,2025-01-01,1,1
usdot-fhwa-stol,devops,2025-01-01,2,1
usdot-fhwa-stol,twist_to_ackermann,2025-01-01,1,1
usdot-fhwa-stol,actions,2025-01-02,1,1
usdot-fhwa-stol,carma-base,2025-01-02,1,1
usdot-fhwa-stol,carma-cohda-dsrc-driver,2025-01-02,1,1
usdot-fhwa-stol,carma-config,2025-01-02,2,1
usdot-fhwa-stol,carma-j2735,2025-01-02,6,1
usdot-fhwa-stol,carma-messenger-bridge,2025-01-02,1,1
usdot-fhwa-stol,carma-streets,2025-01-02,1,1
usdot-fhwa-stol,carma-torc-pinpoint-driver,2025-01-02,1,1
usdot-fhwa-stol,devops,2025-01-02,2,1
usdot-fhwa-stol,dwm1001_ros2,2025-01-02,2,1
usdot-fhwa-stol,j2735decoder,2025-01-02,1,1
usdot-fhwa-stol,snmp-client,2025-01-02,1,1
usdot-fhwa-stol,v2x-emulator,2025-01-02,1,1
usdot-fhwa-stol,carma-carla-integration,2025-01-03,1,1
usdot-fhwa-stol,carma-config,2025-01-03,1,1
usdot-fhwa-stol,carma-j2735,2025-01-03,20,2
usdot-fhwa-stol,carma-lightbar-driver,2025-01-03,1,1
usdot-fhwa-stol,carma-messenger,2025-01-03,1,1
usdot-fhwa-stol,carma-messenger-bridge,2025-01-03,3,2
usdot-fhwa-stol,carma-platform,2025-01-03,1,1
usdot-fhwa-stol,carma-streets,2025-01-03,2,2
usdot-fhwa-stol,carma-time-lib,2025-01-03,1,1
usdot-fhwa-stol,carma-utils,2025-01-03,1,1
usdot-fhwa-stol,cdasim,2025-01-03,1,1
usdot-fhwa-stol,devops,2025-01-03,211,2
usdot-fhwa-stol,infrastructure-camera-detection-and-tracking,2025-01-03,1,1
usdot-fhwa-stol,ns3-federate,2025-01-03,1,1
usdot-fhwa-stol,v2x-emulator,2025-01-03,1,1
usdot-fhwa-stol,To-21-426-multivariate-piecewise-linear-ACC-car-following-model,2025-01-04,1,1
usdot-fhwa-stol,carma-builds,2025-01-04,1,1
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2025-01-04,1,1
usdot-fhwa-stol,carma-msgs,2025-01-04,1,1
usdot-fhwa-stol,carma-ns3-adapter,2025-01-04,1,1
usdot-fhwa-stol,carma-ssc-interface-wrapper,2025-01-04,1,1
usdot-fhwa-stol,cda-telematics,2025-01-04,1,1
usdot-fhwa-stol,documentation,2025-01-04,1,1
usdot-fhwa-stol,multiple_object_tracking,2025-01-04,1,1
