Start date,End date,Org,Repo,Referrer,Count,Unique
2024-10-31,2024-11-14,usdot-fhwa-OPS,ITS-Secure-Prototype-App,github.com,1,1
2024-10-31,2024-11-14,usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,github.com,1,1
2024-10-31,2024-11-14,usdot-fhwa-OPS,V2X-Hub,github.com,173,15
2024-10-31,2024-11-14,usdot-fhwa-OPS,V2X-Hub,Google,108,28
2024-10-31,2024-11-14,usdot-fhwa-OPS,V2X-Hub,usdot-carma.atlassian.net,15,3
2024-10-31,2024-11-14,usdot-fhwa-OPS,V2X-Hub,statics.gov.teams.microsoft.us,12,3
2024-10-31,2024-11-14,usdot-fhwa-OPS,V2X-Hub,Bing,9,4
2024-10-31,2024-11-14,usdot-fhwa-OPS,V2X-Hub,chatgpt.com,5,4
2024-10-31,2024-11-14,usdot-fhwa-OPS,V2X-Hub,DuckDuckGo,5,2
2024-10-31,2024-11-14,usdot-fhwa-OPS,V2X-Hub,geekdaxue.co,4,1
2024-10-31,2024-11-14,usdot-fhwa-OPS,V2X-Hub,teams.microsoft.com,3,2
2024-10-31,2024-11-14,usdot-fhwa-OPS,V2X-Hub,word-edit.gov.online.office365.us,1,1
2024-10-31,2024-11-14,usdot-fhwa-OPS,V2X-Hub-UI,github.com,2,2
2024-10-31,2024-11-14,usdot-fhwa-OPS,v2xhub-angular-ui-prototype,github.com,2,2
