Start date,End date,Org,Repo,Referrer,Count,Unique
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-web-ui,github.com,4,1
2025-02-14,2025-02-28,usdot-fhwa-stol,CARMAConcept,github.com,12,1
2025-02-14,2025-02-28,usdot-fhwa-stol,cav-education,Google,15,3
2025-02-14,2025-02-28,usdot-fhwa-stol,cav-education,statics.gov.teams.microsoft.us,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,cave-lite,Google,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,cda-telematics,github.com,7,3
2025-02-14,2025-02-28,usdot-fhwa-stol,cda-telematics,statics.gov.teams.microsoft.us,7,2
2025-02-14,2025-02-28,usdot-fhwa-stol,cda-telematics,Google,3,3
2025-02-14,2025-02-28,usdot-fhwa-stol,cda1tenth-bringup,github.com,6,2
2025-02-14,2025-02-28,usdot-fhwa-stol,cda1tenth-bringup,Google,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,cdasim,github.com,111,15
2025-02-14,2025-02-28,usdot-fhwa-stol,cdasim,Google,19,9
2025-02-14,2025-02-28,usdot-fhwa-stol,cdasim,attachments.office.net,11,2
2025-02-14,2025-02-28,usdot-fhwa-stol,cdasim,statics.gov.teams.microsoft.us,8,2
2025-02-14,2025-02-28,usdot-fhwa-stol,cdasim,opencda-documentation.readthedocs.io,3,1
2025-02-14,2025-02-28,usdot-fhwa-stol,cdasim,Baidu,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,cdasim,highways.dot.gov,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,cdasim-config,github.com,2,1
2025-02-14,2025-02-28,usdot-fhwa-stol,cdasim-config,highways.dot.gov,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,connectedvcs-tools,Google,31,3
2025-02-14,2025-02-28,usdot-fhwa-stol,connectedvcs-tools,statics.gov.teams.microsoft.us,10,3
2025-02-14,2025-02-28,usdot-fhwa-stol,connectedvcs-tools,usdot-carma.atlassian.net,3,2
2025-02-14,2025-02-28,usdot-fhwa-stol,connectedvcs-tools,github.com,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,devops,github.dev,3,1
2025-02-14,2025-02-28,usdot-fhwa-stol,devops,github.com,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,dwm1001_ros2,Google,8,3
2025-02-14,2025-02-28,usdot-fhwa-stol,dwm1001_ros2,Bing,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,j2735decoder,Google,36,14
2025-02-14,2025-02-28,usdot-fhwa-stol,j2735decoder,Bing,10,2
2025-02-14,2025-02-28,usdot-fhwa-stol,j2735decoder,DuckDuckGo,7,1
2025-02-14,2025-02-28,usdot-fhwa-stol,j2735decoder,github.com,4,2
2025-02-14,2025-02-28,usdot-fhwa-stol,multiple_object_tracking,github.com,3,1
2025-02-14,2025-02-28,usdot-fhwa-stol,multiple_object_tracking,Google,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,navigation2-extensions,github.com,8,1
2025-02-14,2025-02-28,usdot-fhwa-stol,navigation2-extensions,Google,7,2
2025-02-14,2025-02-28,usdot-fhwa-stol,navigation2-extensions,statics.teams.cdn.office.net,3,2
2025-02-14,2025-02-28,usdot-fhwa-stol,navigation2-extensions,statics.gov.teams.microsoft.us,3,2
2025-02-14,2025-02-28,usdot-fhwa-stol,ns-3_c-v2x,chatgpt.com,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,To-21-426-modeling-HV-interactions-with-inconspicuous-ACC-equipped-vehicles,Google,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,To-21-426-modeling-HV-interactions-with-inconspicuous-ACC-equipped-vehicles,github.com,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,To-21-426-multivariate-piecewise-linear-ACC-car-following-model,Google,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,udp-socket,github.com,17,3
2025-02-14,2025-02-28,usdot-fhwa-stol,udp-time-sync,github.com,24,2
2025-02-14,2025-02-28,usdot-fhwa-stol,v2x-emulator,github.com,16,2
2025-02-14,2025-02-28,usdot-fhwa-stol,v2x-emulator,Google,12,5
2025-02-14,2025-02-28,usdot-fhwa-stol,v2x-emulator,chatgpt.com,2,1
2025-02-14,2025-02-28,usdot-fhwa-stol,v2x-ros-conversion,Google,37,3
2025-02-14,2025-02-28,usdot-fhwa-stol,v2x-ros-conversion,github.com,29,6
2025-02-14,2025-02-28,usdot-fhwa-stol,v2x-ros-conversion,statics.teams.cdn.office.net,3,1
2025-02-14,2025-02-28,usdot-fhwa-stol,v2x-ros-driver,github.com,34,7
2025-02-14,2025-02-28,usdot-fhwa-stol,v2x-ros-driver,Google,15,4
2025-02-14,2025-02-28,usdot-fhwa-stol,v2x-ros-driver,statics.gov.teams.microsoft.us,3,2
2025-02-14,2025-02-28,usdot-fhwa-stol,voices-poc,github.com,3,3
2025-02-14,2025-02-28,usdot-fhwa-stol,WxDE,Google,5,2
