Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-stol,autoware.auto,2024-11-01,2,2
usdot-fhwa-stol,carma-analytics-fotda,2024-11-01,2,2
usdot-fhwa-stol,carma-base,2024-11-01,15,6
usdot-fhwa-stol,carma-messenger,2024-11-01,22,5
usdot-fhwa-stol,carma-msgs,2024-11-01,5,5
usdot-fhwa-stol,carma-platform,2024-11-01,14,2
usdot-fhwa-stol,carma-ssc-interface-wrapper,2024-11-01,4,4
usdot-fhwa-stol,carma-torc-pinpoint-driver,2024-11-01,1,1
usdot-fhwa-stol,carma-utils,2024-11-01,5,4
usdot-fhwa-stol,connectedvcs-tools,2024-11-01,16,4
usdot-fhwa-stol,documentation,2024-11-01,5,3
usdot-fhwa-stol,multiple_object_tracking,2024-11-01,3,3
usdot-fhwa-stol,carma-j2735,2024-11-02,1,1
usdot-fhwa-stol,infrastructure-camera-detection-and-tracking,2024-11-02,1,1
usdot-fhwa-stol,carma-platform,2024-11-03,1,1
usdot-fhwa-stol,carma-time-lib,2024-11-03,1,1
usdot-fhwa-stol,To-21-426-modeling-HV-interactions-with-inconspicuous-ACC-equipped-vehicles,2024-11-04,1,1
usdot-fhwa-stol,autoware.auto,2024-11-04,11,4
usdot-fhwa-stol,c1t_razor_imu_m0_driver,2024-11-04,1,1
usdot-fhwa-stol,carma-analytics-fotda,2024-11-04,1,1
usdot-fhwa-stol,carma-builds,2024-11-04,7,1
usdot-fhwa-stol,carma-cloud,2024-11-04,1,1
usdot-fhwa-stol,carma-cohda-dsrc-driver,2024-11-04,1,1
usdot-fhwa-stol,carma-config,2024-11-04,1,1
usdot-fhwa-stol,carma-delphi-esr-driver,2024-11-04,1,1
usdot-fhwa-stol,carma-lightbar-driver,2024-11-04,1,1
usdot-fhwa-stol,carma-messenger,2024-11-04,4,2
usdot-fhwa-stol,carma-msgs,2024-11-04,39,3
usdot-fhwa-stol,carma-platform,2024-11-04,1,1
usdot-fhwa-stol,carma-ssc-interface-wrapper,2024-11-04,1,1
usdot-fhwa-stol,carma-streets,2024-11-04,1,1
usdot-fhwa-stol,carma-utils,2024-11-04,5,4
usdot-fhwa-stol,carma-vehicle-model-framework,2024-11-04,1,1
usdot-fhwa-stol,carma-web-ui,2024-11-04,1,1
usdot-fhwa-stol,cave-lite,2024-11-04,1,1
usdot-fhwa-stol,cdasim,2024-11-04,2,2
usdot-fhwa-stol,connectedvcs-tools,2024-11-04,23,3
usdot-fhwa-stol,multiple_object_tracking,2024-11-04,1,1
usdot-fhwa-stol,navigation2-extensions,2024-11-04,1,1
usdot-fhwa-stol,ns-3_c-v2x,2024-11-04,1,1
usdot-fhwa-stol,ns3-federate,2024-11-04,1,1
usdot-fhwa-stol,snmp-client,2024-11-04,1,1
usdot-fhwa-stol,tim-bc,2024-11-04,1,1
usdot-fhwa-stol,To-21-426-multivariate-piecewise-linear-ACC-car-following-model,2024-11-05,2,2
usdot-fhwa-stol,carma-analytics-fotda,2024-11-05,7,2
usdot-fhwa-stol,carma-cloud,2024-11-05,4,1
usdot-fhwa-stol,carma-cohda-dsrc-driver,2024-11-05,8,1
usdot-fhwa-stol,carma-messenger,2024-11-05,2,1
usdot-fhwa-stol,carma-messenger-bridge,2024-11-05,2,1
usdot-fhwa-stol,carma-msgs,2024-11-05,5,4
usdot-fhwa-stol,carma-ns3-adapter,2024-11-05,1,1
usdot-fhwa-stol,carma-platform,2024-11-05,12,2
usdot-fhwa-stol,carma-ssc-interface-wrapper,2024-11-05,1,1
usdot-fhwa-stol,carma-utils,2024-11-05,4,2
usdot-fhwa-stol,cda1tenth-bringup,2024-11-05,1,1
usdot-fhwa-stol,cdasim,2024-11-05,1,1
usdot-fhwa-stol,documentation,2024-11-05,2,2
usdot-fhwa-stol,github_metrics,2024-11-05,2,2
usdot-fhwa-stol,multiple_object_tracking,2024-11-05,2,1
usdot-fhwa-stol,navigation2-extensions,2024-11-05,7,2
usdot-fhwa-stol,twist_to_ackermann,2024-11-05,1,1
usdot-fhwa-stol,v2x-emulator,2024-11-05,2,2
usdot-fhwa-stol,CARMAConcept,2024-11-06,1,1
usdot-fhwa-stol,carma-analytics-fotda,2024-11-06,6,4
usdot-fhwa-stol,carma-base,2024-11-06,4,2
usdot-fhwa-stol,carma-config,2024-11-06,15,3
usdot-fhwa-stol,carma-delphi-esr-driver,2024-11-06,1,1
usdot-fhwa-stol,carma-delphi-srr2-driver,2024-11-06,1,1
usdot-fhwa-stol,carma-freightliner-2012-controller-driver,2024-11-06,1,1
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2024-11-06,1,1
usdot-fhwa-stol,carma-j2735,2024-11-06,26,3
usdot-fhwa-stol,carma-messenger,2024-11-06,10,3
usdot-fhwa-stol,carma-msgs,2024-11-06,17,5
usdot-fhwa-stol,carma-platform,2024-11-06,5,3
usdot-fhwa-stol,carma-ssc-interface-wrapper,2024-11-06,2,1
usdot-fhwa-stol,carma-utils,2024-11-06,1,1
usdot-fhwa-stol,carma-vehicle-model-framework,2024-11-06,1,1
usdot-fhwa-stol,carma-velodyne-lidar-driver,2024-11-06,2,1
usdot-fhwa-stol,carma-web-ui,2024-11-06,1,1
usdot-fhwa-stol,cda-telematics,2024-11-06,1,1
usdot-fhwa-stol,cdasim,2024-11-06,1,1
usdot-fhwa-stol,connectedvcs-tools,2024-11-06,2,1
usdot-fhwa-stol,devops,2024-11-06,1,1
usdot-fhwa-stol,documentation,2024-11-06,4,2
usdot-fhwa-stol,dwm1001_ros2,2024-11-06,1,1
usdot-fhwa-stol,github_metrics,2024-11-06,1,1
usdot-fhwa-stol,multiple_object_tracking,2024-11-06,2,2
usdot-fhwa-stol,navigation2-extensions,2024-11-06,2,1
usdot-fhwa-stol,v2x-emulator,2024-11-06,2,2
usdot-fhwa-stol,autoware.auto,2024-11-07,1,1
usdot-fhwa-stol,carma-analytics-fotda,2024-11-07,2,1
usdot-fhwa-stol,carma-builds,2024-11-07,21,1
usdot-fhwa-stol,carma-delphi-esr-driver,2024-11-07,1,1
usdot-fhwa-stol,carma-j2735,2024-11-07,12,1
usdot-fhwa-stol,carma-lightbar-driver,2024-11-07,3,1
usdot-fhwa-stol,carma-messenger,2024-11-07,3,3
usdot-fhwa-stol,carma-msgs,2024-11-07,6,5
usdot-fhwa-stol,carma-platform,2024-11-07,13,4
usdot-fhwa-stol,carma-streets,2024-11-07,1,1
usdot-fhwa-stol,carma-utils,2024-11-07,3,3
