Org,Repo,Date,Views count,Views unique
usdot-jpo-ode,TDx,2025-01-18,1,1
usdot-jpo-ode,jpo-cvmanager,2025-01-18,1,1
usdot-jpo-ode,jpo-ode,2025-01-18,3,2
usdot-jpo-ode,scms-asn1,2025-01-18,4,1
usdot-jpo-ode,wzdx,2025-01-18,2,1
usdot-jpo-ode,TDx,2025-01-19,2,2
usdot-jpo-ode,jpo-ode,2025-01-19,3,3
usdot-jpo-ode,wzdx,2025-01-19,10,2
usdot-jpo-ode,TDx,2025-01-20,1,1
usdot-jpo-ode,asn1_codec,2025-01-20,3,1
usdot-jpo-ode,jpo-conflictmonitor,2025-01-20,20,5
usdot-jpo-ode,jpo-cvmanager,2025-01-20,2,1
usdot-jpo-ode,jpo-geojsonconverter,2025-01-20,3,2
usdot-jpo-ode,jpo-ode,2025-01-20,12,5
usdot-jpo-ode,jpo-utils,2025-01-20,3,1
usdot-jpo-ode,wzdx,2025-01-20,30,14
usdot-jpo-ode,TDx,2025-01-21,4,2
usdot-jpo-ode,asn1_codec,2025-01-21,30,9
usdot-jpo-ode,jpo-conflictmonitor,2025-01-21,12,6
usdot-jpo-ode,jpo-conflictvisualizer,2025-01-21,4,2
usdot-jpo-ode,jpo-cvdp,2025-01-21,12,6
usdot-jpo-ode,jpo-cvmanager,2025-01-21,16,4
usdot-jpo-ode,jpo-geojsonconverter,2025-01-21,20,10
usdot-jpo-ode,jpo-ode,2025-01-21,57,21
usdot-jpo-ode,jpo-s3-deposit,2025-01-21,6,5
usdot-jpo-ode,jpo-sdw-depositor,2025-01-21,14,5
usdot-jpo-ode,jpo-security-svcs,2025-01-21,1,1
usdot-jpo-ode,jpo-tim-builder,2025-01-21,1,1
usdot-jpo-ode,jpo-utils,2025-01-21,6,3
usdot-jpo-ode,wzdx,2025-01-21,21,14
usdot-jpo-ode,TDx,2025-01-22,16,3
usdot-jpo-ode,asn1_codec,2025-01-22,11,4
usdot-jpo-ode,jpo-conflictmonitor,2025-01-22,5,3
usdot-jpo-ode,jpo-conflictvisualizer,2025-01-22,3,2
usdot-jpo-ode,jpo-cvdp,2025-01-22,5,2
usdot-jpo-ode,jpo-cvmanager,2025-01-22,10,1
usdot-jpo-ode,jpo-geojsonconverter,2025-01-22,6,5
usdot-jpo-ode,jpo-ode,2025-01-22,48,11
usdot-jpo-ode,jpo-s3-deposit,2025-01-22,1,1
usdot-jpo-ode,jpo-sdw-depositor,2025-01-22,2,1
usdot-jpo-ode,jpo-utils,2025-01-22,6,1
usdot-jpo-ode,scms-asn1,2025-01-22,1,1
usdot-jpo-ode,wzdx,2025-01-22,76,22
usdot-jpo-ode,asn1_codec,2025-01-23,51,12
usdot-jpo-ode,jpo-conflictmonitor,2025-01-23,23,9
usdot-jpo-ode,jpo-conflictvisualizer,2025-01-23,1,1
usdot-jpo-ode,jpo-cvdp,2025-01-23,12,7
usdot-jpo-ode,jpo-cvmanager,2025-01-23,88,3
usdot-jpo-ode,jpo-geojsonconverter,2025-01-23,18,12
usdot-jpo-ode,jpo-ode,2025-01-23,171,20
usdot-jpo-ode,jpo-s3-deposit,2025-01-23,6,6
usdot-jpo-ode,jpo-sdw-depositor,2025-01-23,8,6
