Org,Repo,Date,Views count,Views unique
usdot-fhwa-OPS,V2X-Hub,2024-12-01,17,1
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2024-12-02,1,1
usdot-fhwa-OPS,V2X-Hub,2024-12-02,98,12
usdot-fhwa-OPS,V2X-Hub,2024-12-03,152,15
usdot-fhwa-OPS,V2X-Hub,2024-12-04,82,9
usdot-fhwa-OPS,V2X-Hub,2024-12-05,158,13
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2024-12-06,1,1
usdot-fhwa-OPS,V2X-Hub,2024-12-06,69,16
usdot-fhwa-OPS,V2X-Hub,2024-12-07,72,5
usdot-fhwa-OPS,V2X-Hub,2024-12-08,10,2
usdot-fhwa-OPS,V2X-Hub,2024-12-09,59,13
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2024-12-10,31,2
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2024-12-10,7,2
usdot-fhwa-OPS,V2X-Hub,2024-12-10,70,16
usdot-fhwa-OPS,V2X-Hub-UI,2024-12-10,8,1
usdot-fhwa-OPS,pcis-poc,2024-12-10,18,5
usdot-fhwa-OPS,V2X-Hub,2024-12-11,182,18
usdot-fhwa-OPS,pcis-poc,2024-12-11,7,1
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2024-12-12,3,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2024-12-12,1,1
usdot-fhwa-OPS,V2X-Hub,2024-12-12,134,18
usdot-fhwa-OPS,pcis-poc,2024-12-12,64,3
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2024-12-13,2,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2024-12-13,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2024-12-13,1,1
usdot-fhwa-OPS,V2X-Hub,2024-12-13,101,10
usdot-fhwa-OPS,V2X-Hub-UI,2024-12-13,2,1
usdot-fhwa-OPS,pcis-poc,2024-12-13,52,4
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2024-12-13,1,1
usdot-fhwa-OPS,V2X-Hub,2024-12-14,17,9
usdot-fhwa-OPS,pcis-poc,2024-12-14,2,1
usdot-fhwa-OPS,V2X-Hub,2024-12-15,19,2
