Org,Repo,Date,Clones count,Clones unique
usdot-jpo-ode,asn1_codec,2024-12-18,12,1
usdot-jpo-ode,jpo-conflictvisualizer,2024-12-18,16,4
usdot-jpo-ode,jpo-ode,2024-12-18,1,1
usdot-jpo-ode,jpo-utils,2024-12-18,14,2
usdot-jpo-ode,asn1_codec,2024-12-19,24,1
usdot-jpo-ode,jpo-conflictvisualizer,2024-12-19,31,6
usdot-jpo-ode,jpo-utils,2024-12-19,28,2
usdot-jpo-ode,asn1_codec,2024-12-20,29,2
usdot-jpo-ode,jpo-conflictvisualizer,2024-12-20,29,7
usdot-jpo-ode,jpo-cvdp,2024-12-20,8,2
usdot-jpo-ode,jpo-ode,2024-12-20,6,3
usdot-jpo-ode,jpo-s3-deposit,2024-12-20,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-12-20,9,3
usdot-jpo-ode,jpo-security-svcs,2024-12-20,8,2
usdot-jpo-ode,jpo-utils,2024-12-20,28,2
usdot-jpo-ode,ode-output-validator-library,2024-12-20,8,2
usdot-jpo-ode,jpo-utils,2024-12-21,5,1
usdot-jpo-ode,jpo-ode,2024-12-22,1,1
usdot-jpo-ode,jpo-security,2024-12-22,1,1
usdot-jpo-ode,asn1_codec,2024-12-23,6,1
usdot-jpo-ode,jpo-conflictmonitor,2024-12-23,9,2
usdot-jpo-ode,jpo-conflictvisualizer,2024-12-23,3,1
usdot-jpo-ode,jpo-cvdp,2024-12-23,3,1
usdot-jpo-ode,jpo-geojsonconverter,2024-12-23,1,1
usdot-jpo-ode,jpo-ode,2024-12-23,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-12-23,3,1
usdot-jpo-ode,jpo-security-svcs,2024-12-23,3,1
usdot-jpo-ode,jpo-utils,2024-12-23,33,2
usdot-jpo-ode,ode-output-validator-library,2024-12-23,3,1
usdot-jpo-ode,asn1_codec,2024-12-24,30,1
usdot-jpo-ode,jpo-conflictmonitor,2024-12-24,29,7
usdot-jpo-ode,jpo-conflictvisualizer,2024-12-24,19,2
usdot-jpo-ode,jpo-cvdp,2024-12-24,12,1
usdot-jpo-ode,jpo-geojsonconverter,2024-12-24,9,2
usdot-jpo-ode,jpo-ode,2024-12-24,2,2
usdot-jpo-ode,jpo-sdw-depositor,2024-12-24,12,1
usdot-jpo-ode,jpo-security,2024-12-24,1,1
usdot-jpo-ode,jpo-security-svcs,2024-12-24,12,1
usdot-jpo-ode,jpo-utils,2024-12-24,60,4
usdot-jpo-ode,ode-output-validator-library,2024-12-24,12,1
usdot-jpo-ode,wzdx,2024-12-24,1,1
usdot-jpo-ode,jpo-cvdp,2024-12-25,1,1
usdot-jpo-ode,jpo-geojsonconverter,2024-12-25,1,1
usdot-jpo-ode,jpo-ode,2024-12-25,1,1
usdot-jpo-ode,wzdx,2024-12-25,1,1
usdot-jpo-ode,asn1_codec,2024-12-26,12,1
usdot-jpo-ode,jpo-cvdp,2024-12-26,12,1
usdot-jpo-ode,jpo-ode,2024-12-26,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-12-26,12,1
usdot-jpo-ode,jpo-security-svcs,2024-12-26,12,1
usdot-jpo-ode,jpo-utils,2024-12-26,12,1
usdot-jpo-ode,ode-output-validator-library,2024-12-26,12,1
usdot-jpo-ode,asn1_codec,2024-12-27,14,1
usdot-jpo-ode,jpo-conflictmonitor,2024-12-27,2,2
usdot-jpo-ode,jpo-conflictvisualizer,2024-12-27,3,1
usdot-jpo-ode,jpo-cvdp,2024-12-27,11,1
usdot-jpo-ode,jpo-sdw-depositor,2024-12-27,11,1
usdot-jpo-ode,jpo-security-svcs,2024-12-27,11,1
usdot-jpo-ode,jpo-utils,2024-12-27,14,1
usdot-jpo-ode,ode-output-validator-library,2024-12-27,11,1
usdot-jpo-ode,jpo-ode,2024-12-28,1,1
usdot-jpo-ode,asn1_codec,2024-12-29,4,1
usdot-jpo-ode,jpo-cvdp,2024-12-29,4,1
usdot-jpo-ode,jpo-sdw-depositor,2024-12-29,4,1
usdot-jpo-ode,jpo-security-svcs,2024-12-29,4,1
usdot-jpo-ode,jpo-utils,2024-12-29,4,1
usdot-jpo-ode,ode-output-validator-library,2024-12-29,4,1
usdot-jpo-ode,asn1_codec,2024-12-30,10,1
usdot-jpo-ode,jpo-cvdp,2024-12-30,11,2
usdot-jpo-ode,jpo-geojsonconverter,2024-12-30,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-12-30,10,1
usdot-jpo-ode,jpo-security-svcs,2024-12-30,10,1
usdot-jpo-ode,jpo-utils,2024-12-30,11,2
usdot-jpo-ode,ode-output-validator-library,2024-12-30,11,2
usdot-jpo-ode,jpo-cvmanager,2024-12-31,1,1
usdot-jpo-ode,jpo-ode,2024-12-31,2,2
usdot-jpo-ode,scms-asn1,2024-12-31,1,1
