Start date,End date,Org,Repo,Referrer,Count,Unique
2025-03-31,2025-04-14,usdot-fhwa-stol,.github,github.com,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,ads-road-feature-readiness,github.com,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,autoware.auto,Google,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carla-sensor-lib,github.com,20,2
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-analytics-fotda,statics.gov.teams.microsoft.us,13,2
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-analytics-fotda,github.com,12,3
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-analytics-fotda,excel.gov.online.office365.us,11,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-analytics-fotda,Google,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-analytics-fotda,usdot-carma.atlassian.net,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-analytics-fotda,its.dot.gov,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-base,github.com,5,2
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-base,community.sonarsource.com,4,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-carla-integration,github.com,13,3
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-carla-integration,Google,7,2
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-cloud,Google,4,4
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-cloud,usdot-carma.atlassian.net,4,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-cloud,github.com,2,2
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-cloud,statics.gov.teams.microsoft.us,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-config,Google,30,7
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-config,github.com,17,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-config,statics.gov.teams.microsoft.us,4,2
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-delphi-esr-driver,Google,5,2
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-messenger,github.com,24,2
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-messenger,Google,8,4
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-messenger-bridge,github.com,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-msgs,github.com,6,3
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-msgs,Bing,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-platform,Google,73,24
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-platform,github.com,65,19
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-platform,usdot-carma.atlassian.net,15,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-platform,Bing,10,3
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-platform,its.dot.gov,9,3
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-platform,statics.gov.teams.microsoft.us,5,3
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-platform,discuss.ray.io,5,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-platform,transportation.gov,4,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-platform,Yahoo,3,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-platform,discourse.ros.org,2,2
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-ssc-interface-wrapper,github.com,11,3
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-ssc-interface-wrapper,Google,10,3
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-streets,Google,8,5
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-streets,community.sonarsource.com,6,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-streets,github.com,5,2
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-streets,usdot-fhwa-stol.github.io,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-utils,statics.gov.teams.microsoft.us,15,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-utils,github.com,6,4
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-utils,cn.bing.com,6,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-utils,usdot-carma.atlassian.net,2,2
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-utils,Google,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-web-ui,github.com,13,4
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-web-ui,Google,2,1
2025-03-31,2025-04-14,usdot-fhwa-stol,carma-web-ui,usdot-fhwa-stol.github.io,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,cav-education,Google,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,cave-lite,Google,5,2
2025-03-31,2025-04-14,usdot-fhwa-stol,cave-lite,Bing,4,1
2025-03-31,2025-04-14,usdot-fhwa-stol,cda1tenth-bringup,statics.gov.teams.microsoft.us,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,cdasim,Google,51,10
2025-03-31,2025-04-14,usdot-fhwa-stol,cdasim,Bing,22,1
2025-03-31,2025-04-14,usdot-fhwa-stol,cdasim,github.com,19,8
2025-03-31,2025-04-14,usdot-fhwa-stol,cdasim,statics.gov.teams.microsoft.us,7,1
2025-03-31,2025-04-14,usdot-fhwa-stol,cdasim,chatgpt.com,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,cdasim,opencda-documentation.readthedocs.io,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,cdasim-config,github.com,61,8
2025-03-31,2025-04-14,usdot-fhwa-stol,cdasim-config,Google,22,3
2025-03-31,2025-04-14,usdot-fhwa-stol,cdasim-config,statics.gov.teams.microsoft.us,8,1
2025-03-31,2025-04-14,usdot-fhwa-stol,connectedvcs-tools,github.com,72,2
2025-03-31,2025-04-14,usdot-fhwa-stol,connectedvcs-tools,statics.gov.teams.microsoft.us,20,4
2025-03-31,2025-04-14,usdot-fhwa-stol,connectedvcs-tools,Google,19,6
2025-03-31,2025-04-14,usdot-fhwa-stol,connectedvcs-tools,usdot-carma.atlassian.net,13,4
2025-03-31,2025-04-14,usdot-fhwa-stol,documentation,its.dot.gov,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,dwm1001_ros2,Google,12,3
2025-03-31,2025-04-14,usdot-fhwa-stol,j2735decoder,Google,41,11
2025-03-31,2025-04-14,usdot-fhwa-stol,j2735decoder,Bing,8,2
2025-03-31,2025-04-14,usdot-fhwa-stol,j2735decoder,DuckDuckGo,2,1
2025-03-31,2025-04-14,usdot-fhwa-stol,multiple_object_tracking,github.com,7,1
2025-03-31,2025-04-14,usdot-fhwa-stol,navigation2-extensions,github.com,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,ns-3_c-v2x,Google,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,tim-bc,Google,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,To-21-426-modeling-HV-interactions-with-inconspicuous-ACC-equipped-vehicles,Google,5,1
2025-03-31,2025-04-14,usdot-fhwa-stol,udp-socket,github.com,6,2
2025-03-31,2025-04-14,usdot-fhwa-stol,v2x-emulator,Google,16,6
2025-03-31,2025-04-14,usdot-fhwa-stol,v2x-emulator,perplexity.ai,4,1
2025-03-31,2025-04-14,usdot-fhwa-stol,v2x-emulator,chatgpt.com,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,v2x-emulator,github.com,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,v2x-ros-conversion,github.com,28,4
2025-03-31,2025-04-14,usdot-fhwa-stol,v2x-ros-conversion,Google,6,1
2025-03-31,2025-04-14,usdot-fhwa-stol,v2x-ros-driver,github.com,26,6
2025-03-31,2025-04-14,usdot-fhwa-stol,v2x-ros-driver,Google,16,3
2025-03-31,2025-04-14,usdot-fhwa-stol,v2x-ros-driver,answers.ros.org,4,1
2025-03-31,2025-04-14,usdot-fhwa-stol,v2x-ros-driver,statics.gov.teams.microsoft.us,1,1
2025-03-31,2025-04-14,usdot-fhwa-stol,voices-poc,Google,7,1
2025-03-31,2025-04-14,usdot-fhwa-stol,voices-poc,statics.gov.teams.microsoft.us,4,1
