Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
Stol-scratchpad,0,4,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cda1tenth-bringup,0,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,52,47,5,1,4,6,5,1,0,0,0,0,0,1,1,0,0,2,1,1,1,0,0
connectedvcs-tools,0,6,5,2,2,0,2,2,100%,2,100%,N/A,N/A,94,94,0,2,2,9,9,0,0,0,0,0,0,13,13,0,0,12,1,6,6,0,0
navigation2,0,1,1,1,1,0,0,0,N/A,0,N/A,100%,0,4,2,2,0,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usdot-asn1c,2,2,2,2,0,2,2,2,100%,1,50%,N/A,N/A,0,0,0,0,N/A,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
navigation2-extensions,7,7,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,22,20,2,0,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
twist_to_ackermann,0,5,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robot_localization,0,0,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To-21-426-modeling-HV-interactions-with-inconspicuous-ACC-equipped-vehicles,1,1,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To-21-426-multivariate-piecewise-linear-ACC-car-following-model,0,5,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,655,624,414,2182,1346,836,438,436,100%,410,94%,14%,107,5886,3622,2246,67,5,98,32,66,6,6,0,0,1,128,117,11,0,111,25,14,12,2,0
