Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-OPS,V2X-Hub,2025-04-01,29,25
usdot-fhwa-OPS,pcis-poc,2025-04-01,3,3
usdot-fhwa-OPS,v2x-hub-ui,2025-04-01,1,1
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-04-01,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-04-02,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-02,25,15
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-04-03,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-04-03,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-03,29,22
usdot-fhwa-OPS,ngx-traffic-cdk,2025-04-03,1,1
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-04-03,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-04,15,14
usdot-fhwa-OPS,pcis-poc,2025-04-04,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-04-05,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-04-05,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-05,1,1
usdot-fhwa-OPS,ngx-traffic-cdk,2025-04-05,1,1
usdot-fhwa-OPS,pcis-poc,2025-04-05,1,1
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-04-05,3,2
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-04-07,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-07,34,10
usdot-fhwa-OPS,ngx-traffic-cdk,2025-04-07,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-04-08,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-08,27,6
usdot-fhwa-OPS,pcis-poc,2025-04-08,1,1
usdot-fhwa-OPS,v2x-hub-ui,2025-04-08,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-09,38,6
usdot-fhwa-OPS,pcis-poc,2025-04-09,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-04-10,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-10,110,39
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-04-10,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-04-11,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-04-11,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-11,14,8
usdot-fhwa-OPS,pcis-poc,2025-04-11,1,1
usdot-fhwa-OPS,v2x-hub-ui,2025-04-11,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-04-12,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-04-12,2,2
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-04-12,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-12,6,4
usdot-fhwa-OPS,ngx-traffic-cdk,2025-04-12,2,2
usdot-fhwa-OPS,pcis-poc,2025-04-12,2,2
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-04-12,1,1
usdot-fhwa-OPS,.github,2025-04-13,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-04-13,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-13,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-04-14,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-14,9,6
usdot-fhwa-OPS,v2x-hub-ui,2025-04-14,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-15,2,2
