Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
jpo-ode,80,27,42,110,48,62,2,2,100%,2,100%,2%,95,451,197,248,2,7,45,14,31,0,0,0,0,0,3,2,1,0,0,1,3,2,1,0
jpo-cvdp,15,14,10,4,1,3,2,2,100%,1,50%,50%,939,41,17,24,1,12,12,3,9,1,1,0,0,0,1,1,0,0,0,0,2,2,0,0
jpo-s3-deposit,4,10,4,10,9,1,2,2,100%,2,100%,25%,287,57,34,23,1,29,13,7,6,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
jpo-security,4,10,3,1,0,1,1,1,100%,1,100%,N/A,N/A,10,0,10,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usdot-jpo-ode.github.io,2,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asn1_codec,14,13,18,10,2,8,3,3,100%,0,0%,0%,74,52,35,17,1,10,15,7,8,1,1,0,0,0,1,1,0,0,0,0,2,2,0,0
jpo-tim-builder,4,10,4,2,0,2,1,1,100%,1,100%,0%,0,1,0,1,0,26,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-security-svcs,3,10,2,3,1,2,0,0,N/A,0,N/A,0%,31,32,20,12,0,11,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-ode-scms-asn,0,7,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scms-asn1,4,7,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wzdx,92,52,60,140,92,48,11,11,100%,11,100%,7%,234,181,156,25,0,48,44,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-record-parser,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-sdw-depositor,3,7,5,3,1,2,0,0,N/A,0,N/A,0%,452,43,19,24,0,25,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ode-output-validator-library,2,9,7,4,0,4,3,3,100%,3,100%,0%,1353,40,3,37,0,1,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wzdc-tool,1,7,0,1,1,0,0,0,N/A,0,N/A,0%,0,0,0,0,0,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDx,4,15,1,9,9,0,9,8,89%,9,100%,N/A,N/A,7,7,0,0,113,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-geojsonconverter,3,8,6,4,4,0,2,1,50%,1,50%,50%,5,77,64,13,0,14,10,7,3,1,1,0,0,0,2,2,0,0,3,1,3,3,0,0
jpo-conflictmonitor,0,9,4,1,1,0,0,0,N/A,0,N/A,0%,19,129,127,2,2,4,7,6,1,0,0,0,0,0,7,7,0,0,4,1,3,3,0,0
jpo-conflictvisualizer,0,9,4,1,1,0,1,1,100%,0,0%,N/A,N/A,132,130,2,3,2,9,7,2,0,0,0,0,0,10,10,0,0,6,4,5,5,0,0
jpo-cvmanager,2,8,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,34,33,1,1,6,7,6,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
jpo-cvportal,0,7,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jpo-utils,1,8,3,1,1,0,1,1,100%,0,0%,N/A,N/A,19,18,1,0,3,6,5,1,0,0,0,0,0,6,5,1,0,7,0,4,3,1,0
TOTAL,238,259,179,304,171,133,38,36,95%,31,82%,6%,180,1311,860,445,12,14,98,28,75,3,3,0,0,0,32,30,2,0,20,7,9,7,2,0
