Org,Repo,Date,Clones count,Clones unique
usdot-jpo-ode,asn1_codec,2024-11-01,16,1
usdot-jpo-ode,jpo-cvdp,2024-11-01,16,1
usdot-jpo-ode,jpo-cvmanager,2024-11-01,3,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-01,16,1
usdot-jpo-ode,jpo-security-svcs,2024-11-01,16,1
usdot-jpo-ode,jpo-utils,2024-11-01,16,1
usdot-jpo-ode,ode-output-validator-library,2024-11-01,16,1
usdot-jpo-ode,jpo-utils,2024-11-02,1,1
usdot-jpo-ode,asn1_codec,2024-11-04,20,2
usdot-jpo-ode,jpo-conflictmonitor,2024-11-04,13,1
usdot-jpo-ode,jpo-cvdp,2024-11-04,20,2
usdot-jpo-ode,jpo-cvmanager,2024-11-04,1,1
usdot-jpo-ode,jpo-geojsonconverter,2024-11-04,5,3
usdot-jpo-ode,jpo-ode,2024-11-04,4,2
usdot-jpo-ode,jpo-s3-deposit,2024-11-04,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-04,20,2
usdot-jpo-ode,jpo-security-svcs,2024-11-04,20,2
usdot-jpo-ode,jpo-utils,2024-11-04,27,3
usdot-jpo-ode,ode-output-validator-library,2024-11-04,19,1
usdot-jpo-ode,wzdx,2024-11-04,1,1
usdot-jpo-ode,asn1_codec,2024-11-05,17,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-05,12,3
usdot-jpo-ode,jpo-cvdp,2024-11-05,17,1
usdot-jpo-ode,jpo-cvmanager,2024-11-05,3,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-05,17,1
usdot-jpo-ode,jpo-security-svcs,2024-11-05,17,1
usdot-jpo-ode,jpo-utils,2024-11-05,23,1
usdot-jpo-ode,ode-output-validator-library,2024-11-05,17,1
usdot-jpo-ode,TDx,2024-11-06,1,1
usdot-jpo-ode,asn1_codec,2024-11-06,44,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-06,4,1
usdot-jpo-ode,jpo-cvdp,2024-11-06,44,1
usdot-jpo-ode,jpo-cvmanager,2024-11-06,1,1
usdot-jpo-ode,jpo-ode,2024-11-06,2,1
usdot-jpo-ode,jpo-s3-deposit,2024-11-06,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-06,44,1
usdot-jpo-ode,jpo-security-svcs,2024-11-06,44,1
usdot-jpo-ode,jpo-utils,2024-11-06,47,1
usdot-jpo-ode,ode-output-validator-library,2024-11-06,44,1
usdot-jpo-ode,asn1_codec,2024-11-07,30,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-07,10,2
usdot-jpo-ode,jpo-cvdp,2024-11-07,30,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-07,30,1
usdot-jpo-ode,jpo-security-svcs,2024-11-07,30,1
usdot-jpo-ode,jpo-utils,2024-11-07,36,1
usdot-jpo-ode,ode-output-validator-library,2024-11-07,30,1
usdot-jpo-ode,scms-asn1,2024-11-07,1,1
usdot-jpo-ode,wzdx,2024-11-07,1,1
usdot-jpo-ode,asn1_codec,2024-11-08,19,2
usdot-jpo-ode,jpo-cvdp,2024-11-08,18,1
usdot-jpo-ode,jpo-s3-deposit,2024-11-08,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-08,18,1
usdot-jpo-ode,jpo-security-svcs,2024-11-08,18,1
usdot-jpo-ode,jpo-utils,2024-11-08,18,1
usdot-jpo-ode,ode-output-validator-library,2024-11-08,18,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-09,1,1
usdot-jpo-ode,jpo-utils,2024-11-09,1,1
usdot-jpo-ode,jpo-ode,2024-11-10,1,1
usdot-jpo-ode,asn1_codec,2024-11-11,16,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-11,1,1
usdot-jpo-ode,jpo-cvdp,2024-11-11,16,1
usdot-jpo-ode,jpo-geojsonconverter,2024-11-11,2,2
usdot-jpo-ode,jpo-ode,2024-11-11,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-11,16,1
usdot-jpo-ode,jpo-security-svcs,2024-11-11,16,1
usdot-jpo-ode,jpo-utils,2024-11-11,19,3
usdot-jpo-ode,ode-output-validator-library,2024-11-11,16,1
usdot-jpo-ode,asn1_codec,2024-11-12,6,1
usdot-jpo-ode,jpo-cvdp,2024-11-12,6,1
usdot-jpo-ode,jpo-ode,2024-11-12,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-12,6,1
usdot-jpo-ode,jpo-security-svcs,2024-11-12,6,1
usdot-jpo-ode,jpo-utils,2024-11-12,7,2
usdot-jpo-ode,ode-output-validator-library,2024-11-12,6,1
usdot-jpo-ode,asn1_codec,2024-11-13,2,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-13,19,5
usdot-jpo-ode,jpo-conflictvisualizer,2024-11-13,2,1
usdot-jpo-ode,jpo-cvdp,2024-11-13,2,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-13,2,1
usdot-jpo-ode,jpo-security-svcs,2024-11-13,2,1
usdot-jpo-ode,jpo-utils,2024-11-13,12,2
usdot-jpo-ode,ode-output-validator-library,2024-11-13,2,1
usdot-jpo-ode,wzdx,2024-11-13,2,2
usdot-jpo-ode,asn1_codec,2024-11-14,49,1
usdot-jpo-ode,jpo-conflictvisualizer,2024-11-14,27,5
usdot-jpo-ode,jpo-cvdp,2024-11-14,26,1
usdot-jpo-ode,jpo-ode,2024-11-14,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-14,26,1
usdot-jpo-ode,jpo-security-svcs,2024-11-14,26,1
usdot-jpo-ode,jpo-utils,2024-11-14,49,1
usdot-jpo-ode,ode-output-validator-library,2024-11-14,26,1
usdot-jpo-ode,ode-output-validator-library,2024-11-15,1,1
usdot-jpo-ode,wzdc-tool,2024-11-15,1,1
