Start date,End date,Org,Repo,Referrer,Count,Unique
2024-11-30,2024-12-14,usdot-jpo-ode,asn1_codec,github.com,25,8
2024-11-30,2024-12-14,usdot-jpo-ode,asn1_codec,Google,6,2
2024-11-30,2024-12-14,usdot-jpo-ode,asn1_codec,DuckDuckGo,1,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-conflictmonitor,github.com,66,7
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-conflictmonitor,DuckDuckGo,25,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-conflictmonitor,Google,7,3
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-conflictvisualizer,github.com,37,6
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-conflictvisualizer,statics.teams.cdn.office.net,8,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-conflictvisualizer,Google,4,3
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-conflictvisualizer,DuckDuckGo,1,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-cvdp,github.com,33,5
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-cvmanager,github.com,25,6
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-cvmanager,statics.gov.teams.microsoft.us,8,4
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-cvmanager,Google,1,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-cvmanager,its.dot.gov,1,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-cvportal,github.com,2,2
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-deposit,github.com,3,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-geojsonconverter,github.com,14,3
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-geojsonconverter,DuckDuckGo,6,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-geojsonconverter,Google,1,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-ode,Google,117,14
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-ode,github.com,37,11
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-ode,its.dot.gov,13,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-ode,statics.gov.teams.microsoft.us,11,3
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-ode,DuckDuckGo,9,3
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-ode,statics.teams.cdn.office.net,7,3
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-ode,data.transportationops.org,6,3
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-ode,Bing,3,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-ode,data.transportation.gov,1,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-ode,usdot-oss4its.atlassian.net,1,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-ode-scms-asn,Google,2,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-s3-deposit,github.com,12,3
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-s3-deposit,Google,1,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-sdw-depositor,github.com,13,5
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-security,Google,51,5
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-security,github.com,12,2
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-security-svcs,github.com,18,5
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-tim-builder,github.com,25,4
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-tim-builder,Google,1,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-utils,github.com,67,6
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-utils,DuckDuckGo,8,1
2024-11-30,2024-12-14,usdot-jpo-ode,jpo-utils,statics.teams.cdn.office.net,7,2
2024-11-30,2024-12-14,usdot-jpo-ode,scms-asn1,Google,16,5
2024-11-30,2024-12-14,usdot-jpo-ode,scms-asn1,github.com,7,2
2024-11-30,2024-12-14,usdot-jpo-ode,TDx,transportation.gov,38,3
2024-11-30,2024-12-14,usdot-jpo-ode,TDx,Google,10,7
2024-11-30,2024-12-14,usdot-jpo-ode,TDx,statics.teams.cdn.office.net,8,3
2024-11-30,2024-12-14,usdot-jpo-ode,TDx,excel.officeapps.live.com,6,1
2024-11-30,2024-12-14,usdot-jpo-ode,TDx,github.com,4,4
2024-11-30,2024-12-14,usdot-jpo-ode,TDx,Bing,2,2
2024-11-30,2024-12-14,usdot-jpo-ode,wzdc-tool,statics.gov.teams.microsoft.us,20,1
2024-11-30,2024-12-14,usdot-jpo-ode,wzdc-tool,github.com,8,1
2024-11-30,2024-12-14,usdot-jpo-ode,wzdx,statics.teams.cdn.office.net,175,9
2024-11-30,2024-12-14,usdot-jpo-ode,wzdx,Google,103,21
2024-11-30,2024-12-14,usdot-jpo-ode,wzdx,transportation.gov,98,26
2024-11-30,2024-12-14,usdot-jpo-ode,wzdx,fhwa.dot.gov,36,6
2024-11-30,2024-12-14,usdot-jpo-ode,wzdx,Bing,11,4
2024-11-30,2024-12-14,usdot-jpo-ode,wzdx,statics.gov.teams.microsoft.us,10,3
2024-11-30,2024-12-14,usdot-jpo-ode,wzdx,developers.google.com,8,4
2024-11-30,2024-12-14,usdot-jpo-ode,wzdx,github.com,7,2
2024-11-30,2024-12-14,usdot-jpo-ode,wzdx,datahub.transportation.gov,4,4
2024-11-30,2024-12-14,usdot-jpo-ode,wzdx,511wi.gov,4,1
