Org,Repo,Date,Views count,Views unique
usdot-fhwa-OPS,V2X-Hub,2025-02-15,10,6
usdot-fhwa-OPS,pcis-poc,2025-02-15,25,2
usdot-fhwa-OPS,V2X-Hub,2025-02-16,3,3
usdot-fhwa-OPS,pcis-poc,2025-02-16,10,2
usdot-fhwa-OPS,V2X-Hub,2025-02-17,17,9
usdot-fhwa-OPS,V2X-Hub,2025-02-18,252,19
usdot-fhwa-OPS,pcis-poc,2025-02-18,157,6
usdot-fhwa-OPS,.github,2025-02-19,6,1
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-02-19,38,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-02-19,30,2
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-02-19,1,1
usdot-fhwa-OPS,V2X-Hub,2025-02-19,123,23
usdot-fhwa-OPS,ngx-traffic-cdk,2025-02-19,7,1
usdot-fhwa-OPS,pcis-poc,2025-02-19,216,7
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-02-19,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-02-20,4,2
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-02-20,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-02-20,1,1
usdot-fhwa-OPS,V2X-Hub,2025-02-20,51,19
usdot-fhwa-OPS,pcis-poc,2025-02-20,96,7
usdot-fhwa-OPS,V2X-Hub,2025-02-21,41,18
usdot-fhwa-OPS,pcis-poc,2025-02-21,79,4
usdot-fhwa-OPS,V2X-Hub,2025-02-22,7,7
usdot-fhwa-OPS,pcis-poc,2025-02-22,3,1
usdot-fhwa-OPS,V2X-Hub,2025-02-23,17,7
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-02-24,3,1
usdot-fhwa-OPS,V2X-Hub,2025-02-24,26,13
usdot-fhwa-OPS,pcis-poc,2025-02-24,21,2
usdot-fhwa-OPS,V2X-Hub,2025-02-25,100,11
usdot-fhwa-OPS,pcis-poc,2025-02-25,28,4
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-02-26,4,2
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-02-26,1,1
usdot-fhwa-OPS,V2X-Hub,2025-02-26,97,14
usdot-fhwa-OPS,pcis-poc,2025-02-26,42,6
usdot-fhwa-OPS,V2X-Hub,2025-02-27,83,9
usdot-fhwa-OPS,pcis-poc,2025-02-27,38,4
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-02-28,13,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-02-28,24,2
usdot-fhwa-OPS,V2X-Hub,2025-02-28,88,18
usdot-fhwa-OPS,ngx-traffic-cdk,2025-02-28,3,1
usdot-fhwa-OPS,pcis-poc,2025-02-28,54,5
usdot-fhwa-OPS,v2x-hub-ui,2025-02-28,26,1
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-02-28,41,1
