Start date,End date,Org,Repo,Referrer,Count,Unique
2024-12-17,2024-12-31,usdot-fhwa-OPS,ITS-Secure-Prototype-App,linkedin.com,1,1
2024-12-17,2024-12-31,usdot-fhwa-OPS,pcis-poc,usdot-carma.atlassian.net,1,1
2024-12-17,2024-12-31,usdot-fhwa-OPS,V2X-Hub,Google,63,11
2024-12-17,2024-12-31,usdot-fhwa-OPS,V2X-Hub,statics.gov.teams.microsoft.us,61,4
2024-12-17,2024-12-31,usdot-fhwa-OPS,V2X-Hub,github.com,46,8
2024-12-17,2024-12-31,usdot-fhwa-OPS,V2X-Hub,blackbox.ai,31,1
2024-12-17,2024-12-31,usdot-fhwa-OPS,V2X-Hub,geekdaxue.co,9,1
2024-12-17,2024-12-31,usdot-fhwa-OPS,V2X-Hub,Bing,6,5
2024-12-17,2024-12-31,usdot-fhwa-OPS,V2X-Hub,yuque.com,3,1
2024-12-17,2024-12-31,usdot-fhwa-OPS,V2X-Hub,its.dot.gov,2,1
2024-12-17,2024-12-31,usdot-fhwa-OPS,V2X-Hub,search.brave.com,1,1
2024-12-17,2024-12-31,usdot-fhwa-OPS,V2X-Hub,usdot-carma.atlassian.net,1,1
