Start date,End date,Org,Repo,Path,Title,Count,Unique
2025-03-17,2025-03-31,usdot-jpo-ode,asn1_codec,/usdot-jpo-ode/asn1_codec,usdot-jpo-ode/asn1_codec: Module to encode and decode ASN.1 streams of messag...,11,6
2025-03-17,2025-03-31,usdot-jpo-ode,asn1_codec,/usdot-jpo-ode/asn1_codec/tree/develop/asn1c_combined,asn1_codec/asn1c_combined at develop · usdot-jpo-ode/asn1_codec · GitHub,7,5
2025-03-17,2025-03-31,usdot-jpo-ode,asn1_codec,/usdot-jpo-ode/asn1_codec/tree/develop,usdot-jpo-ode/asn1_codec: Module to encode and decode ASN.1 streams of messag...,7,4
2025-03-17,2025-03-31,usdot-jpo-ode,asn1_codec,/usdot-jpo-ode/asn1_codec/tree/develop/src,asn1_codec/src at develop · usdot-jpo-ode/asn1_codec · GitHub,7,4
2025-03-17,2025-03-31,usdot-jpo-ode,asn1_codec,/usdot-jpo-ode/asn1_codec/tree/develop/asn1c_combined/j2735-asn-files/2024,asn1_codec/asn1c_combined/j2735-asn-files/2024 at develop · usdot-jpo-ode/asn...,6,3
2025-03-17,2025-03-31,usdot-jpo-ode,asn1_codec,/usdot-jpo-ode/asn1_codec/tree/develop/asn1c_combined/j2735-asn-files,asn1_codec/asn1c_combined/j2735-asn-files at develop · usdot-jpo-ode/asn1_codec,5,2
2025-03-17,2025-03-31,usdot-jpo-ode,asn1_codec,/usdot-jpo-ode/asn1_codec/tree/develop/asn1c_combined/generated-files,asn1_codec/asn1c_combined/generated-files at develop · usdot-jpo-ode/asn1_codec,4,4
2025-03-17,2025-03-31,usdot-jpo-ode,asn1_codec,/usdot-jpo-ode/asn1_codec/blob/develop/asn1c_combined/j2735-asn-files/2024/required-asn-files.txt,asn1_codec/asn1c_combined/j2735-asn-files/2024/required-asn-files.txt at deve...,3,3
2025-03-17,2025-03-31,usdot-jpo-ode,asn1_codec,/usdot-jpo-ode/asn1_codec/tree/develop/asn1c_combined/j2735-asn-files/2024/asn-edits,asn1_codec/asn1c_combined/j2735-asn-files/2024/asn-edits at develop · usdot-j...,3,3
2025-03-17,2025-03-31,usdot-jpo-ode,asn1_codec,/usdot-jpo-ode/asn1_codec/tree/b0cb4be138f088907c4740252ab08896e0eab495,usdot-jpo-ode/asn1_codec at b0cb4be138f088907c4740252ab08896e0eab495,3,2
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-asn-pojos,/usdot-jpo-ode/jpo-asn-pojos/pulls,Pull requests · usdot-jpo-ode/jpo-asn-pojos,4,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-asn-pojos,/usdot-jpo-ode/jpo-asn-pojos,usdot-jpo-ode/jpo-asn-pojos,3,2
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-asn-pojos,/usdot-jpo-ode/jpo-asn-pojos/pull/2,"J2735-2024 Part 7: RUCRM, TUM, TUMack, Test & future use messages by iyoursha...",3,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-asn-pojos,/usdot-jpo-ode/jpo-asn-pojos/compare/develop...CDOT-CV:jpo-asn-pojos:j2735-2024-part-4,Comparing usdot-jpo-ode:develop...CDOT-CV:j2735-2024-part-4 · usdot-jpo-ode/j...,2,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-asn-pojos,/usdot-jpo-ode/jpo-asn-pojos/compare/develop...CDOT-CV:jpo-asn-pojos:j2735-2024-part-8,Comparing usdot-jpo-ode:develop...CDOT-CV:j2735-2024-part-8 · usdot-jpo-ode/j...,2,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-asn-pojos,/usdot-jpo-ode/jpo-asn-pojos/compare/develop...CDOT-CV:jpo-asn-pojos:develop,Comparing usdot-jpo-ode:develop...CDOT-CV:develop · usdot-jpo-ode/jpo-asn-pojos,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-asn-pojos,/usdot-jpo-ode/jpo-asn-pojos/compare/develop...CDOT-CV:jpo-asn-pojos:j2735-2024-part-2,Comparing usdot-jpo-ode:develop...CDOT-CV:j2735-2024-part-2 · usdot-jpo-ode/j...,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-asn-pojos,/usdot-jpo-ode/jpo-asn-pojos/compare/develop...CDOT-CV:jpo-asn-pojos:j2735-2024-part-5,Comparing usdot-jpo-ode:develop...CDOT-CV:j2735-2024-part-5 · usdot-jpo-ode/j...,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-asn-pojos,/usdot-jpo-ode/jpo-asn-pojos/compare/develop...CDOT-CV:jpo-asn-pojos:j2735-2024-part-6,Comparing usdot-jpo-ode:develop...CDOT-CV:j2735-2024-part-6 · usdot-jpo-ode/j...,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-asn-pojos,/usdot-jpo-ode/jpo-asn-pojos/compare/develop...CDOT-CV:jpo-asn-pojos:j2735-2024-part-7,Comparing usdot-jpo-ode:develop...CDOT-CV:j2735-2024-part-7 · usdot-jpo-ode/j...,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictmonitor,/usdot-jpo-ode/jpo-conflictmonitor,usdot-jpo-ode/jpo-conflictmonitor,18,11
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictmonitor,/usdot-jpo-ode/jpo-conflictmonitor/blob/develop/docs/ConflictMonitorAnalysisProcess.svg,jpo-conflictmonitor/docs/ConflictMonitorAnalysisProcess.svg at develop · usdo...,2,2
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictmonitor,/usdot-jpo-ode/jpo-conflictmonitor/actions,Workflow runs · usdot-jpo-ode/jpo-conflictmonitor,2,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictmonitor,/usdot-jpo-ode/jpo-conflictmonitor/blob/develop/docs/KafkaStreamsVisualizations/all.svg,jpo-conflictmonitor/docs/KafkaStreamsVisualizations/all.svg at develop · usdo...,2,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictmonitor,/usdot-jpo-ode/jpo-conflictmonitor/issues,GitHub · Where software is built,2,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictmonitor,/usdot-jpo-ode/jpo-conflictmonitor/pull/155,Adding in individual profile names for conflict monitor by John-Wiens · Pull ...,2,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictmonitor,/usdot-jpo-ode/jpo-conflictmonitor/blob/develop/docs/KafkaStreamsVisualizations/mapValidation.svg,jpo-conflictmonitor/docs/KafkaStreamsVisualizations/mapValidation.svg at deve...,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictmonitor,/usdot-jpo-ode/jpo-conflictmonitor/projects,Projects · jpo-conflictmonitor,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictmonitor,/usdot-jpo-ode/jpo-conflictmonitor/pulls,Pull requests · usdot-jpo-ode/jpo-conflictmonitor,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictmonitor,/usdot-jpo-ode/jpo-conflictmonitor/pulse,Pulse · usdot-jpo-ode/jpo-conflictmonitor,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictvisualizer,/usdot-jpo-ode/jpo-conflictvisualizer,usdot-jpo-ode/jpo-conflictvisualizer,10,7
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictvisualizer,/usdot-jpo-ode/jpo-conflictvisualizer/pull/130/files,Add new reports by linda-baker · Pull Request #130 · usdot-jpo-ode/jpo-confli...,2,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictvisualizer,/usdot-jpo-ode/jpo-conflictvisualizer/blob/3a2c8301950896113a1b54cc24483a4e262ee09e/gui/package.json,jpo-conflictvisualizer/gui/package.json at 3a2c8301950896113a1b54cc24483a4e26...,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictvisualizer,/usdot-jpo-ode/jpo-conflictvisualizer/issues,GitHub · Where software is built,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictvisualizer,/usdot-jpo-ode/jpo-conflictvisualizer/pulls,Pull requests · usdot-jpo-ode/jpo-conflictvisualizer,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-conflictvisualizer,/usdot-jpo-ode/jpo-conflictvisualizer/tree/develop,usdot-jpo-ode/jpo-conflictvisualizer,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvdp,/usdot-jpo-ode/jpo-cvdp,usdot-jpo-ode/jpo-cvdp: SUBMODULE: Connected Vehicle Data Privacy module for ...,5,4
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvdp,/usdot-jpo-ode/jpo-cvdp/blob/develop/docs/diagrams/class-usage/PPM%20Class%20Usage.drawio.png,jpo-cvdp/docs/diagrams/class-usage/PPM Class Usage.drawio.png at develop · us...,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvdp,/usdot-jpo-ode/jpo-cvdp/blob/develop/docs/ppm_user_manual.docx,jpo-cvdp/docs/ppm_user_manual.docx at develop · usdot-jpo-ode/jpo-cvdp,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvdp,/usdot-jpo-ode/jpo-cvdp/blob/develop/src/idRedactor.cpp,jpo-cvdp/src/idRedactor.cpp at develop · usdot-jpo-ode/jpo-cvdp,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvdp,/usdot-jpo-ode/jpo-cvdp/releases/tag/jpo-cvdp-1.5.0,Release jpo-cvdp-1.5.0 · usdot-jpo-ode/jpo-cvdp,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvdp,/usdot-jpo-ode/jpo-cvdp/tree/develop/src,jpo-cvdp/src at develop · usdot-jpo-ode/jpo-cvdp,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvdp,/usdot-jpo-ode/jpo-cvdp/tree/e82a5d72a9927a210616cfec4c6ede89c9f77bae,usdot-jpo-ode/jpo-cvdp at e82a5d72a9927a210616cfec4c6ede89c9f77bae,1,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvmanager,/usdot-jpo-ode/jpo-cvmanager,usdot-jpo-ode/jpo-cvmanager,39,18
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvmanager,/usdot-jpo-ode/jpo-cvmanager/tree/develop/services,jpo-cvmanager/services at develop · usdot-jpo-ode/jpo-cvmanager · GitHub,7,5
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvmanager,/usdot-jpo-ode/jpo-cvmanager/blob/develop/docs/Release_notes.md,jpo-cvmanager/docs/Release_notes.md at develop · usdot-jpo-ode/jpo-cvmanager ...,5,4
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvmanager,/usdot-jpo-ode/jpo-cvmanager/issues,Repo Issues · GitHub,5,3
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvmanager,/usdot-jpo-ode/jpo-cvmanager/blob/develop/docs/CVManagerArchFlowchart.png,jpo-cvmanager/docs/CVManagerArchFlowchart.png at develop · usdot-jpo-ode/jpo-...,4,3
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvmanager,/usdot-jpo-ode/jpo-cvmanager/blob/develop/README.md,jpo-cvmanager/README.md at develop · usdot-jpo-ode/jpo-cvmanager · GitHub,3,3
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvmanager,/usdot-jpo-ode/jpo-cvmanager/tree/develop/docs,jpo-cvmanager/docs at develop · usdot-jpo-ode/jpo-cvmanager · GitHub,3,3
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvmanager,/usdot-jpo-ode/jpo-cvmanager/tree/develop/services/api,jpo-cvmanager/services/api at develop · usdot-jpo-ode/jpo-cvmanager · GitHub,3,2
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvmanager,/usdot-jpo-ode/jpo-cvmanager/blob/develop/services/addons/images/rsu_status_check/README.md,jpo-cvmanager/services/addons/images/rsu_status_check/README.md at develop · ...,3,1
2025-03-17,2025-03-31,usdot-jpo-ode,jpo-cvmanager,/usdot-jpo-ode/jpo-cvmanager/blob/develop/services/intersection-api/api/pom.xml,jpo-cvmanager/services/intersection-api/api/pom.xml at develop · usdot-jpo-od...,3,1
