Org,Repo,Date,Views count,Views unique
usdot-fhwa-OPS,V2X-Hub,2025-01-18,38,37
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-01-18,5,5
usdot-fhwa-OPS,V2X-Hub,2025-01-19,1,1
usdot-fhwa-OPS,V2X-Hub,2025-01-20,54,5
usdot-fhwa-OPS,ngx-traffic-cdk,2025-01-20,13,1
usdot-fhwa-OPS,pcis-poc,2025-01-20,6,1
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-01-21,1,1
usdot-fhwa-OPS,V2X-Hub,2025-01-21,125,17
usdot-fhwa-OPS,ngx-traffic-cdk,2025-01-21,4,2
usdot-fhwa-OPS,pcis-poc,2025-01-21,27,4
usdot-fhwa-OPS,v2x-hub-ui,2025-01-21,2,1
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-01-21,16,2
usdot-fhwa-OPS,V2X-Hub,2025-01-22,141,16
usdot-fhwa-OPS,pcis-poc,2025-01-22,45,4
usdot-fhwa-OPS,V2X-Hub,2025-01-23,13,8
usdot-fhwa-OPS,pcis-poc,2025-01-23,74,3
usdot-fhwa-OPS,v2x-hub-ui,2025-01-23,1,1
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-01-23,1,1
usdot-fhwa-OPS,V2X-Hub,2025-01-24,8,5
usdot-fhwa-OPS,pcis-poc,2025-01-24,76,8
usdot-fhwa-OPS,v2x-hub-ui,2025-01-24,1,1
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-01-24,10,2
usdot-fhwa-OPS,V2X-Hub,2025-01-25,4,3
usdot-fhwa-OPS,pcis-poc,2025-01-25,4,2
usdot-fhwa-OPS,v2x-hub-ui,2025-01-25,8,1
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-01-25,44,1
usdot-fhwa-OPS,V2X-Hub,2025-01-26,6,2
usdot-fhwa-OPS,V2X-Hub,2025-01-27,54,12
usdot-fhwa-OPS,pcis-poc,2025-01-27,2,2
usdot-fhwa-OPS,v2x-hub-ui,2025-01-27,91,5
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-01-27,53,2
usdot-fhwa-OPS,.github,2025-01-28,5,1
usdot-fhwa-OPS,V2X-Hub,2025-01-28,182,15
usdot-fhwa-OPS,pcis-poc,2025-01-28,1,1
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-01-28,1,1
usdot-fhwa-OPS,V2X-Hub,2025-01-29,155,19
usdot-fhwa-OPS,ngx-traffic-cdk,2025-01-29,4,1
usdot-fhwa-OPS,pcis-poc,2025-01-29,8,2
usdot-fhwa-OPS,v2x-hub-ui,2025-01-29,13,1
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-01-29,10,2
usdot-fhwa-OPS,V2X-Hub,2025-01-30,60,13
usdot-fhwa-OPS,pcis-poc,2025-01-30,41,3
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-01-31,2,1
usdot-fhwa-OPS,V2X-Hub,2025-01-31,208,22
usdot-fhwa-OPS,pcis-poc,2025-01-31,6,2
usdot-fhwa-OPS,V2X-Hub,2025-02-01,1,1
usdot-fhwa-OPS,pcis-poc,2025-02-01,2,1
